LINHA;MES;DIA;ITQ;ART;PCA;VPA;VTD;PEN;CAR;TAT;BEL;BRE;BAS;PDS;PSE;GBU;REP;CEC;DEO;BFU
3-Vermelha;Novembro;7;72,4;57,4;22,8;21,2;27,9;28,6;51,4;77,8;38,7;31,7;75,1;14,9;21,8;53;125,8;23,4;26,2;135,4
3-Vermelha;Novembro;8;70,2;55,8;21,9;20,3;26,8;27,1;46,6;77,6;36,8;30,1;71,3;15,3;20,8;51,6;119,4;22,1;25,5;131,7
3-Vermelha;Novembro;9;48;35;13,5;12,3;15,8;16,3;25,9;64,9;21,9;19,3;56,5;10,3;10,5;24,1;72,7;14,2;16,1;85,6
3-Vermelha;Novembro;10;41;22,3;8,3;8;10,5;10,9;15,6;45;16,3;13,4;23,1;8,8;6,1;13,9;43,5;12,1;10,7;57,3
3-Vermelha;Novembro;11;72,6;57;22,9;21,2;27,6;28,3;50,9;76,1;37,3;32,9;78,9;15;22,7;53,3;119,6;23;26,1;137,1
3-Vermelha;Novembro;12;73,4;58,6;23,4;22;28,9;29,4;53,1;78,4;39,5;33,4;80,2;16,5;22,6;56,3;127;24;26,9;142,9
3-Vermelha;Novembro;13;72,3;57,9;23,2;21,8;28,8;29,6;52,9;77,8;39;32,6;77,8;15,6;22,4;55,6;127,8;24,5;27,2;143,4
3-Vermelha;Novembro;14;74,2;59;23,6;22,4;28,8;30,2;52,1;81,6;40,1;33,9;80,5;16,1;22,7;55,3;128,8;24,2;28,1;143,5
3-Vermelha;Novembro;15;46,5;27,4;10,2;9,1;11,5;12,3;19;49,1;16,3;12,5;38,6;8,1;6,8;17,1;53,6;11,1;12,6;82,3
3-Vermelha;Novembro;16;42,1;29,7;11,5;10,2;13,3;13,7;19,7;55,4;18,4;17;50,7;9,2;10,4;20,9;63,8;12;13,8;87,2
3-Vermelha;Novembro;17;28,6;18,2;6,7;6,2;8,1;8,7;11,9;35,5;12,6;10,7;19,7;6,6;5,2;13,5;37,6;8,8;9,1;55,3
3-Vermelha;Novembro;18;70,9;55,5;22,2;20,5;27,1;27,7;48,3;74,3;36,6;32,4;77,5;14,5;22,3;51,4;116,8;23,1;25,6;138,6
3-Vermelha;Novembro;19;73,9;58,8;23,2;21,9;28,9;29,6;50,8;79,3;39,7;33,7;75;16,6;23;54,3;128,3;24,7;27,3;140,7
3-Vermelha;Novembro;20;47,1;29,2;10,3;9,1;11,8;12,9;18,7;49,2;17,3;13;39,1;7,1;7,1;17,9;52,3;11,1;12,5;64,9
3-Vermelha;Novembro;21;72,2;57,2;22,7;21,4;28,3;29;50,1;77,2;36,7;29,9;77,7;15;21,4;52,8;123,5;23,4;26,6;136
3-Vermelha;Novembro;22;72,2;57,5;22,7;21,2;28,1;28,8;47,1;79,3;38,2;32,2;75,7;15,9;21,9;51,7;120,6;23,9;26,2;137,4
3-Vermelha;Novembro;23;47,6;35,1;13,6;12;16;16,5;25,4;65,1;22,1;19,3;54,9;10;11,7;24,5;71,8;14,3;15,9;87,1
3-Vermelha;Novembro;24;44,6;23;7,4;6,9;9,3;10,1;15;42,4;13,9;11,8;24,1;7,4;5,1;13;40,3;9,3;9,4;54,5
3-Vermelha;Novembro;25;71,1;55,1;22,3;20,7;27,3;28,3;47,6;75,1;36,7;32,6;75,8;14,6;22,3;52;117,6;22,9;25,6;135,2
3-Vermelha;Novembro;26;65,1;49;21,1;18,8;23,9;25,5;45,6;74,9;36,7;31,3;76,5;15,4;22,8;52;123,5;21,1;23,6;131,1
3-Vermelha;Novembro;27;71,4;57,2;22,9;21,5;28,6;29,5;50,2;77,6;38,9;31;78,6;15,4;22,7;56,3;126,7;24,5;26,9;139,4
3-Vermelha;Novembro;28;71,4;57,3;23,1;21,5;28,6;29,2;53,8;79;38,9;30,1;75,5;15,4;22,3;56,6;125,8;23,1;26,7;136,8
3-Vermelha;Novembro;29;74,1;57,7;23,1;21,4;27,9;29,2;50,2;83,2;38,7;32,2;71;15,7;22,5;57,1;125,6;23,5;26,8;136,9
3-Vermelha;Novembro;30;50,2;37;14,1;12,6;17,5;17,4;26,7;67,6;22,7;21,9;58,1;10,4;12;25,4;75,2;14,3;16,1;99,6
3-Vermelha;Dezembro;1;31,3;20,2;7,5;6,7;10;9,6;13,1;40,8;14,2;10,6;24,8;6,9;5,8;13;49,9;9,6;9,7;57,6
3-Vermelha;Dezembro;2;71,3;55,8;22,4;20,7;27,2;27,9;51,7;76,2;36,7;31,4;74,8;14,3;22,1;53,6;118,5;22,4;25,1;136,1
3-Vermelha;Dezembro;3;82;58,8;22,5;21;27,7;28;52,5;75,9;37,7;31;75,6;15,5;21,3;53,8;122,5;22,7;26;135,9
3-Vermelha;Dezembro;4;72,9;58,3;23,4;21,8;28,5;29,3;53,2;80,2;39,3;31,5;81,1;17,1;23,1;56,8;127,7;23,9;27,1;142,8
3-Vermelha;Dezembro;5;72;57,6;23,2;21,3;28,6;28,9;46,7;80,7;39,4;32,6;78,5;15,7;23,1;58,3;128,8;23,8;26,9;138,2
3-Vermelha;Dezembro;6;73,8;58,8;23,4;21,9;28,7;29,3;46,2;83,8;39,2;32,1;83,3;16,4;23,1;56,6;128,8;24,4;27,2;145,3
3-Vermelha;Dezembro;7;57,4;40,3;15,1;13,5;19,3;18,3;27,3;72;24,4;22,6;68,4;11,1;12,8;27,6;79,7;15,8;17;105,9
3-Vermelha;Dezembro;8;33;21,6;8,4;7,5;10,8;10;14,7;42,5;14,1;13,1;31,5;8,2;5,8;14,3;42,9;10,6;10;62,8
3-Vermelha;Dezembro;9;70,5;55,1;21,9;20,2;26,8;27,2;42,5;75,4;36,2;31,5;83,7;14,8;22,9;54;117,8;22,3;25,5;139,9
3-Vermelha;Dezembro;10;71;56,6;22,3;20,9;28,1;28,1;45,6;77,5;37,9;31,1;81;16;23,4;56,5;125,4;22,9;26,8;135
3-Vermelha;Dezembro;11;71,4;57,5;23,1;21,4;28,4;28,3;46,1;79,6;38,1;31,5;83,4;15,6;23,3;55,9;128,4;24,1;27,2;138,9
3-Vermelha;Dezembro;12;69,7;57,4;23,2;21,4;28;28,1;46,4;81,1;38,7;31,8;83,2;15,7;23,8;56,3;128,7;23,5;22,9;135,7
3-Vermelha;Dezembro;13;71,2;57,7;22,8;20,7;27,4;28,2;44,4;81,4;38,2;30,7;82,3;16,1;23,3;53,6;125,3;23,9;26,7;135,7
3-Vermelha;Dezembro;14;51,7;36,8;14,6;12,8;18,1;17,6;25,9;69,2;23,5;22,9;63,4;10,3;12,2;26,4;80,1;14,4;17,1;97,2
3-Vermelha;Dezembro;15;34,3;21,7;8,4;7,4;11,3;10,6;16;44,2;14,6;11,5;31,6;8,7;6,3;14,2;45,3;10,5;12,2;66
3-Vermelha;Dezembro;16;68,3;54,2;21,5;19,8;26,1;26;41,2;74,7;35,8;28,8;89,2;14,6;22,6;51,5;115,8;21,8;24,9;130,5
3-Vermelha;Dezembro;17;69,2;55,2;22,1;20,2;27,5;27,3;40,8;77;37,1;29,1;73,9;15,9;22,8;52,2;122,3;22,5;26,1;131,5
3-Vermelha;Dezembro;18;89,7;52,1;20,9;17,8;26,2;26,6;39,2;135,7;35,6;28,4;86,9;14,9;21,1;50,8;130,2;22,3;25,3;136,6
3-Vermelha;Dezembro;19;77,4;51,7;20,6;18,5;25,7;25,7;40,2;103,3;35,3;27,4;79,1;14,2;21,2;49,2;119,3;21,9;24,9;130,2
3-Vermelha;Dezembro;20;70,1;54,2;20,9;19,3;25,3;25,9;39,1;79,7;35,2;26,9;85,6;14,4;20;47,7;114,4;20,9;23,7;126,4
3-Vermelha;Dezembro;21;58,4;34;13;11,4;16;15,2;22;66,7;21;18,6;72,4;9,4;11,1;25,1;69,8;12,3;14,2;95
3-Vermelha;Dezembro;22;34,2;21,9;8,4;7,5;10,7;10;12,3;42,7;13,1;10,9;35,4;7,4;5,9;14,1;39,5;9;9,5;69,7
3-Vermelha;Dezembro;23;56,3;42,1;16,2;14,5;18,7;18,8;25,9;62,6;24,5;20,9;76;10,8;16,1;35,5;80,8;15,9;17,7;105,1
3-Vermelha;Dezembro;24;31,1;24,2;8,9;7,8;9,9;10,2;13,4;32,3;13,4;12,3;38,4;7,4;7,9;17,9;40;10;10,7;56,6
3-Vermelha;Dezembro;25;19,7;12,3;4,3;3,9;5,5;5,2;6,3;20,3;6,9;5,9;13,6;3,4;3,1;6,4;17,9;4,6;4,6;30,1
3-Vermelha;Dezembro;26;46,8;34,6;13,4;11,7;15,5;15,7;21,6;48,6;21,3;16,9;49,2;10,1;11,9;30,3;68,3;13,2;15,3;83,7
3-Vermelha;Dezembro;27;50,7;38,5;14,9;13,1;17,1;17,3;24,1;54,1;23,6;19;57;11,1;13,7;33,3;76,4;15;17;90,3
3-Vermelha;Dezembro;28;37,8;27,6;10,5;9,2;11,8;12,2;16,1;49,7;15,9;14,8;43,5;8,1;8,3;18,6;67,3;10,3;11,6;65,4
3-Vermelha;Dezembro;29;25,8;16,5;6,3;5,6;7,4;7,8;9,4;32,3;10,4;8,6;20,4;6,4;5,6;10,3;30;7,6;7,2;43,8
3-Vermelha;Dezembro;30;46,4;32,6;12,4;10,6;13,9;14,1;19;46,2;19,1;16,6;52,4;8,6;12,2;26,7;61,5;13,1;14,3;80,7
3-Vermelha;Dezembro;31;28,8;20,1;6,9;6,4;8,7;8,8;10,8;27;12,2;11;29,8;6,6;5,5;14;40;8,9;9,3;55,6
