LINHA;MES;DIA;VPT;TTI;SAC;AIP;IMG;CKB;ANR;PSO;BGD;TRI;CNS;CLI;SUM;VMD
2-Verde;Outubro;24;19,4;81,5;42;19,4;16,7;88,7;12;12,8;52,1;50,5;103,9;22;11,1;23,1
2-Verde;Outubro;25;17,2;75,3;39,8;17,6;14,4;80;11,4;11,4;47,3;44,8;92,9;20,3;9,8;20,5
2-Verde;Outubro;26;8,7;42,1;23,2;9,6;8,1;39,7;4,6;3,8;24,1;20,2;49;6,6;4,8;11,2
2-Verde;Outubro;27;5,6;22,9;11;6,1;4,5;21,9;3,6;3,1;11,8;13,6;33;4,5;3;7
2-Verde;Outubro;28;16,5;74,6;38,2;17;13,8;78,5;10,7;11,7;47,3;46,6;90,7;19;9,7;20
2-Verde;Outubro;29;20,2;82,9;42,8;19,6;15,7;89,1;12,3;13,2;53,2;52,2;104,6;22,8;10,9;23
2-Verde;Outubro;30;20,1;82,8;42,9;19,6;15,8;89,2;12,2;13,3;53,6;51,7;106,8;22,2;11,2;23,1
2-Verde;Outubro;31;19,7;82,1;43,1;19,4;16;89,8;11,2;13,1;53,2;50,8;105,6;22,2;10,9;22,8
2-Verde;Novembro;1;18,6;79;41,5;18,7;15,1;85,1;11,8;11,9;49,3;46,2;96,8;20,7;10,1;21,4
2-Verde;Novembro;2;7,1;32,5;17,9;6,8;6,1;32,2;3,8;4;17,9;17;39;6,7;3,6;8,5
2-Verde;Novembro;3;4,4;20,2;9,3;4,7;3,7;20,9;2,7;2,8;10,2;11,8;28,3;4;2,4;5,4
2-Verde;Novembro;4;18;77,2;39,8;18,2;14,8;82,8;10,9;11,8;49;47,5;97,2;21,5;10,1;20,6
2-Verde;Novembro;5;20,1;83;43,2;19,9;15,8;89,7;12,3;13,1;54,7;53,2;106,8;22,8;11,1;23,2
2-Verde;Novembro;6;19,4;81,2;42,8;19,8;15,8;89,6;12,3;13,2;54,2;49,6;107,8;22,5;9,5;23,4
2-Verde;Novembro;7;19,5;81,2;42,7;19,3;15,7;89,2;12,3;12,8;53,8;52,3;106,9;22,4;11,3;23,3
2-Verde;Novembro;8;17,4;75,6;39,9;17,9;14,5;82,5;11,4;11,9;49;46,6;97;21,3;9,9;20,7
2-Verde;Novembro;9;8,8;42,8;24,2;10,1;8,3;40,3;4,7;3,9;24,5;21,6;51,2;7,8;4,9;11,5
2-Verde;Novembro;10;5,6;24;11,4;6,3;4,5;22,6;3,3;3,6;12,8;16,5;35,6;4,6;3,1;7
2-Verde;Novembro;11;18,6;79,6;41,8;19,1;15,2;85,8;11,6;12,6;51,1;48,1;96;22,5;10,4;21,4
2-Verde;Novembro;12;20,1;84,3;43,8;20,1;16,3;91,4;12,4;13,7;55,3;54,1;105,2;22,7;11,5;23,6
2-Verde;Novembro;13;20,1;82,5;43,6;20,2;16;90,5;12,6;13,6;54,3;52,3;105,7;22,9;11,4;23,5
2-Verde;Novembro;14;19,3;82,5;43,3;19,8;15,8;88,4;12,5;13,2;53,4;49,8;104,8;22,2;11;23
2-Verde;Novembro;15;14,1;33,3;18,3;6,9;7;31,8;3,9;4,4;19,3;18,7;42;5,8;3,9;9,1
2-Verde;Novembro;16;7,1;35,9;20;7,9;7,4;33,7;3,6;3,3;20,7;19,1;43,9;5,7;4,1;9,5
2-Verde;Novembro;17;4,7;22,6;12,8;4,8;4,6;21,7;2,8;3;15,8;16;32;4,3;2,7;6,2
2-Verde;Novembro;18;18,1;78,5;40,9;18,4;15,1;84;11,2;11,8;49,8;46,7;95,9;21,8;10,4;21
2-Verde;Novembro;19;19,9;84,4;43,8;20,2;16,2;90,2;12,4;12,9;54,5;50,7;106,5;22,6;11,2;23
2-Verde;Novembro;20;6,9;35,1;18;7,2;7,7;32,5;3,9;4;20,2;19;41,6;6,4;4;9,5
2-Verde;Novembro;21;16,7;81,4;42,1;18,9;16,3;87,8;12,2;12,3;52,2;48,3;102,4;22,2;11,2;22,8
2-Verde;Novembro;22;18;78,5;40,9;18,2;15,8;83,1;11,8;11,4;49,4;45,9;95,9;21;10,1;21,1
2-Verde;Novembro;23;8,8;43;23,6;9,7;9,5;39,8;4,7;3,9;23,6;20,2;49,1;6,9;4,9;11,2
2-Verde;Novembro;24;5,1;24,8;13,9;5,9;4,9;23,5;3,3;3;16,6;16,6;33,3;4,5;3,2;6,9
2-Verde;Novembro;25;18,2;79,4;41,2;18,8;15,3;84,8;11,4;11,7;50,4;46,7;97,7;22;10,2;21,1
2-Verde;Novembro;26;20;85,5;43,5;19,7;15,8;91,1;12,2;12,5;53,8;50,6;104,6;22,7;11,3;23,4
2-Verde;Novembro;27;19,7;83;42,9;20,4;15,9;91;12,3;12,8;55;50,3;106,2;19,2;11;23,5
2-Verde;Novembro;28;18,9;80,6;42,2;19,4;15,9;89,8;12,4;12,3;54,1;52,4;106,9;22,4;11,3;23,5
2-Verde;Novembro;29;17,9;79,3;41,6;18,8;15,6;84,6;12,1;11,5;52;49,4;99,5;20,9;10,3;21,5
2-Verde;Novembro;30;9,3;45,7;24,9;9,8;8,7;40,8;4,5;3,9;25;21,7;50,3;6,7;4,8;11,4
2-Verde;Dezembro;1;5,3;25,1;14,3;5,4;4,9;23,6;3,2;3,3;17,9;17,5;34,9;5;2,9;7,1
2-Verde;Dezembro;2;17,7;79,9;40,6;18,2;14,9;84;11;11,3;49,1;47,5;96;21,6;10,2;20,8
2-Verde;Dezembro;3;18,6;80,8;41,9;18,5;15;87,3;11,6;11,6;52,1;50,7;101,6;21,4;10,6;22,3
2-Verde;Dezembro;4;16,8;78,1;36,1;17,1;14,6;87,1;12,5;12;52,7;51,3;104,5;20,7;10,3;21,5
2-Verde;Dezembro;5;19,4;82,9;43;19,3;17,6;90,1;12,7;12,4;55,2;50;106,2;22,5;11,3;23,8
2-Verde;Dezembro;6;18,3;81,1;42,6;18,9;17,5;85,7;12,2;11,9;51,1;46,3;99,6;20,9;10,7;22,7
2-Verde;Dezembro;7;9,7;48,3;26,1;10,5;12,5;43,6;4,9;4,4;28,6;24,3;54,6;7,3;5,3;12,5
2-Verde;Dezembro;8;5,3;26,4;14,1;5,5;8;24,5;3,1;3,7;18,9;18,3;36,1;4,6;3,2;7,5
2-Verde;Dezembro;9;17,6;78,7;40,5;17,4;14,8;83,6;10,8;12,1;49,8;45,7;94,6;21,7;10,5;21,1
2-Verde;Dezembro;10;18,3;81,6;41,9;18,3;15,5;88,7;11,8;12,3;54,6;51,4;104,5;22,7;11;23,1
2-Verde;Dezembro;11;19,1;82,8;42,7;18,8;15,8;89,9;11,8;12,1;55,2;50,5;106,7;22,1;11,2;23,5
2-Verde;Dezembro;12;18,6;82,7;43,1;18,7;16,1;90,1;12,1;12,6;55,4;50,7;108,4;22;11,4;24,1
2-Verde;Dezembro;13;17,7;78,9;41,1;18,2;15,4;84,8;11,6;11,8;52,1;46,6;100,8;20,8;10,5;22,4
2-Verde;Dezembro;14;9,6;45,8;25,4;9,9;8,5;41,8;4,7;4,1;26,6;22,7;56,4;7,4;5,2;12
2-Verde;Dezembro;15;5,7;27,7;15,2;6,5;5,6;26,7;3,3;3,5;19;17,4;37,9;6,3;3,6;7,5
2-Verde;Dezembro;16;16,4;77;39,4;16,7;14,3;82;10,4;11;49,1;44,7;93,9;20,7;10,1;20,5
2-Verde;Dezembro;17;17,5;79,7;41,1;17,6;15,1;86,1;11,2;11,5;53,6;48,2;101,8;21,5;10,5;22,1
2-Verde;Dezembro;18;17,3;77,2;40,4;17,6;15;84,7;11,1;11,2;52,3;47,4;97,8;20,5;10,7;22,3
2-Verde;Dezembro;19;16,8;75,5;39,5;17,1;14,5;82,4;10,8;10,9;50,5;45,2;94;20,4;10,2;21,6
2-Verde;Dezembro;20;15,2;71,4;37,4;15,6;13,8;71,1;9,8;9,6;46,7;40,2;88,2;19;8,8;19,1
2-Verde;Dezembro;21;7,9;41,6;23,1;8,5;7,5;37,1;3,8;3,2;21,3;18,6;43,3;6,3;4,1;9,7
2-Verde;Dezembro;22;4,8;25,7;13,7;5,3;4,6;22,6;2,7;2,6;16,4;16;30,9;4,2;2,8;6,1
2-Verde;Dezembro;23;10;52,3;27;10,9;9,8;52,2;6,8;6,4;31,8;27;57,1;12,1;5,8;12,3
2-Verde;Dezembro;24;5,1;27,6;15,3;5,5;5,1;26,7;2,4;2,2;15,3;12,2;26,4;5,6;2,7;6,1
2-Verde;Dezembro;25;2,8;14,5;7,7;2,6;2,1;13,7;1,2;1,2;6;5,1;12;3;1,3;2,9
2-Verde;Dezembro;26;8,2;45,5;22,8;9,3;8,8;48,5;6;5,3;28,4;24,6;54;11,7;5;10,7
2-Verde;Dezembro;27;9,8;49,4;25,7;10,2;9,7;52,3;6,7;5,8;31,9;26,4;59,1;12,5;5,4;11,9
2-Verde;Dezembro;28;5,9;32,7;17,5;6,6;6,2;30,2;3,2;2,4;19,4;16,1;37;5,1;3,1;7,5
2-Verde;Dezembro;29;3,6;19,6;10,8;4;3,7;18,5;2,2;2,1;14,8;14,1;26,9;3,7;1,9;4,5
2-Verde;Dezembro;30;7,6;39,8;20,5;8,2;7,7;40,5;5,5;4,7;25,4;21,2;46,3;9,8;4,4;9,3
2-Verde;Dezembro;31;5,1;25,4;14,7;5,2;5,1;25,7;2,2;2,2;25,6;30,6;36,8;5,3;2,8;6,4
