LINHA;MES;DIA;VPM;ORT;SLU;CAD;VTL;VUN;JPL;SAP;FJT;MAT;IGT
15-Prata;Dezembro;1;2,5;2,1;1,6;1,1;1,8;1,8;1,6;3,2;1,4;5,9;3,1
15-Prata;Dezembro;2;9,5;7;5,2;3,7;5,6;5,8;4,8;9,5;4,5;17,2;11,7
15-Prata;Dezembro;3;9,8;7;5,1;3,7;5,5;5,9;4,7;9,4;4,6;17,5;12
15-Prata;Dezembro;4;10,1;7,3;5,3;3,6;5,6;5,9;4,8;9,6;4,7;17,7;12,1
15-Prata;Dezembro;5;10,3;7,4;5,4;3,9;5,7;6,1;4,9;9,7;4,7;18;12,3
15-Prata;Dezembro;6;10;7,4;5,4;3,9;5,9;6,2;5,1;9,9;4,8;18,3;12,2
15-Prata;Dezembro;7;5,1;4;3,4;2,4;3,9;3,9;3,4;6,4;3;11,8;6,1
15-Prata;Dezembro;8;2,5;2,1;1,7;1,1;1,9;2;1,7;3,3;1,6;6;3,3
15-Prata;Dezembro;9;9,4;6,8;5,1;3,6;5,4;5,8;4,7;9,3;4,3;17,2;11,6
15-Prata;Dezembro;10;9,8;7,2;5,2;3,7;5,5;5,9;4,8;9,4;4,4;17,4;12,1
15-Prata;Dezembro;11;9,8;7,3;5,4;3,8;5,7;6;4,9;9,6;4,4;17,9;12,2
15-Prata;Dezembro;12;9,8;7,4;5,4;3,9;5,7;6,1;4,9;9,7;4,3;17,8;12,2
15-Prata;Dezembro;13;9,4;7,1;5,2;3,8;5,8;6;4,9;9,4;4,2;17,7;11,9
15-Prata;Dezembro;14;4,9;3,9;3,1;2,2;3,6;3,7;3,1;6,1;2,7;11,3;5,8
15-Prata;Dezembro;15;2,7;2,1;1,7;1,2;1,8;2;1,9;3,4;1,8;6,3;3,5
15-Prata;Dezembro;16;8,8;6,8;4,9;3,5;5,4;5,7;4,6;8,9;4,1;16,8;11,5
15-Prata;Dezembro;17;9,2;7,1;5,1;3,7;5,6;5,9;4,7;9,1;4,1;17,2;11,8
15-Prata;Dezembro;18;9,2;7;5;3,6;5,4;5,8;4,7;9,1;4;17,2;12,2
15-Prata;Dezembro;19;8,9;6,8;5;3,6;5,4;5,6;4,6;9;4;17,1;11,9
15-Prata;Dezembro;20;8,4;6,3;4,7;3,2;5,2;5,5;4,5;8,8;4;16,6;10,9
15-Prata;Dezembro;21;4,3;3,3;3;2,1;3,3;3,6;3,1;5,8;2,6;11;5,3
15-Prata;Dezembro;22;2,4;2;1,6;1,1;2;2,1;1,8;3,4;1,5;6,2;3,4
15-Prata;Dezembro;23;6;4,2;3,3;2,3;4;4,2;3,6;6,9;3;13;7,8
15-Prata;Dezembro;24;3;2,4;2;1,3;2,3;2,5;2,2;4,2;1,8;7,8;4,2
15-Prata;Dezembro;25;1,3;1,1;1;0,7;1,2;1,3;1,2;2,1;1;3,7;2,1
15-Prata;Dezembro;26;5,4;3,5;2,7;1,9;3;3,5;2,8;5,7;2,5;10,6;7,1
15-Prata;Dezembro;27;5,7;3,9;3,2;2,2;3,4;3,9;3,3;6,5;2,8;12,8;7,6
15-Prata;Dezembro;28;3,5;2,7;2,3;1,5;2,6;2,7;2,4;4,6;2;8,4;4,3
15-Prata;Dezembro;29;2,1;1,5;1,3;0,9;1,5;1,5;1,4;2,7;1,2;5;2,6
15-Prata;Dezembro;30;4,6;3,2;2,6;1,7;2,9;3,3;2,8;5,5;2,4;10,5;6
15-Prata;Dezembro;31;2,5;2,1;1,8;1,2;2;2,1;1,8;3,7;1,5;6,6;3,4
