LINHA;MES;DIA;JAB;CON;JUD;SAU;ARV;SCZ;VMN;ANR;PSO;VGO;JQM;LIB;PSE;BTO;LUZ;TRD;PPQ;TTE;CDU;SAN;JPA;PIG;TUC
1-Azul;Agosto;9;68,6;25,6;14,3;25,8;15,1;94,5;19,5;19,9;20,2;24,8;26,9;21,2;14,3;50,3;105,8;15,7;18,9;44,8;11,3;48,5;10,8;11,7;55,4
1-Azul;Agosto;10;40,6;12,3;7,1;14,6;7,9;51,7;9,1;12;11,3;11,3;11,5;19,5;7,3;28;62,7;7,3;9,8;29,9;5,1;27,3;4,9;5,6;29,8
1-Azul;Agosto;11;27,6;6,1;4,3;7,9;3,9;28,4;5,3;6,1;5,4;7;6,8;14;2,7;6;26;3,5;6,8;27,3;3,2;14,3;2,6;3,3;17
1-Azul;Agosto;12;69,3;29,5;14,8;26,5;15;94,1;20,1;19,6;21,3;26,2;35;21,3;14,6;51,1;120,1;16,3;19,3;48;11,9;47,1;11,4;12,5;56,3
1-Azul;Agosto;13;68,4;30,9;15,4;26,8;15,5;95,7;21,1;20,8;22,9;27,6;34,2;21;14,5;48;135,5;16,8;19,4;43,1;12,3;50;11,7;12,9;57,3
1-Azul;Agosto;14;68,9;30,8;15,2;27;15,6;93,8;21,2;21,3;23;27,9;35,9;21,7;14,7;49,8;129,3;16,6;19,5;43,1;12,1;50;11,9;13;57,3
1-Azul;Agosto;15;70,2;30,9;15,8;27,8;16,2;98,4;21,9;22;23,3;28,4;34,3;23,2;15;53,2;130,8;17;16,9;45,6;12,7;52,2;12,1;13,2;58,8
1-Azul;Agosto;16;71;27;14,9;27,3;15,9;95,3;20,5;21,2;20,6;26,1;32,4;23,9;15;53,4;136,8;17,2;19,6;45,1;11,8;51,6;11,5;11,7;57,3
1-Azul;Agosto;17;46,5;13,8;8,4;17,2;9,3;59,5;10,6;11,2;12,1;13,3;13,7;28,2;8,5;36;76,9;18,8;11,4;36,9;6,3;29,6;5,9;6,5;33,7
1-Azul;Agosto;18;32,7;8,2;4,8;8,8;4,6;33,7;4,8;7,1;6,7;9,1;8,3;20,6;3,2;6,5;27,7;6,2;6,4;27,8;3,6;16,4;2,9;3,6;18,9
1-Azul;Agosto;19;70;30,2;15,5;26,1;15,2;92;20,1;19,9;21,7;26,8;35,9;21,1;14,7;50,1;125,5;17;19,7;46,4;11,6;48,9;11,4;12,4;56,8
1-Azul;Agosto;20;73,4;32,2;19,5;29;16,2;98,2;21,8;21,7;24,1;28,3;38,4;22,2;15;51,3;136,2;17,2;20,2;43;12,2;52,8;12,3;13,3;59,2
1-Azul;Agosto;21;71,5;31,9;19,2;28;16,2;97,3;21,9;21,8;23,7;28,5;38,1;22,6;15,4;51,6;130,4;17,1;19,3;41,9;12,4;52,2;12;11,3;59,1
1-Azul;Agosto;22;71;31,1;16,5;28;16,5;97;21,7;21,9;23,2;28,1;36,2;23,3;15;52,2;137,4;17,1;19,6;42,9;12,5;51,9;12,2;13,4;52,1
1-Azul;Agosto;23;70;26,7;14,9;26,6;15,7;94,7;20,4;20,9;20,8;25,9;33,2;23;15,2;51,2;129;16,5;19,5;43,4;11,8;49,7;11,3;12,4;51,2
1-Azul;Agosto;24;43,6;13;7,8;15,7;8,4;55,3;10,2;13,7;11,9;12,9;12,9;24,8;8,3;33;70,3;8,9;11,3;30,1;5,5;27,5;5,5;6,2;31,8
1-Azul;Agosto;25;25,3;6,6;4;7,3;3,8;26,9;4,5;6,3;5,2;7,6;6,9;14,2;2,7;5,3;23,4;4;5,1;23,8;3;13,8;2,4;3,1;16,2
1-Azul;Agosto;26;67,5;29,4;14,5;25,6;14,8;90,9;19,7;19,5;21,2;25,9;35,3;20,4;14,3;48,7;124,4;16;19;44,4;11,7;47,9;11,2;12,4;55,5
1-Azul;Agosto;27;69,8;31,2;15,4;27,2;15,7;94,4;21,2;21,1;22,9;28;36,4;20,9;13,6;49,2;126,7;17;19,3;42,4;12,5;50,5;11,8;13,1;57,6
1-Azul;Agosto;28;65,4;28,5;17,5;27,6;16,1;95,1;16,8;21,3;23;28,5;36,5;21,1;14,6;49,6;129,8;16,1;18,4;42,4;12,7;50,7;12;13,4;58,1
1-Azul;Agosto;29;71,7;30;15,8;27,6;16,1;95,6;20,6;21,8;23;28,4;31,8;21,5;14,8;50,5;132,5;17;18,1;42,5;12,5;51;11,9;13,4;57,9
1-Azul;Agosto;30;72;27,4;15,2;27,3;16;95;20,6;21;21;22,1;32,9;23,7;14,9;51,8;125,8;16,4;18,8;44;11,4;50,3;11,3;12,4;57,5
1-Azul;Agosto;31;46,7;14,2;8,3;16,8;9,1;57,9;10;14;12,2;13,3;13,6;26,9;8,4;36,1;76,9;9,1;11,2;31,5;5,8;28,9;5,9;6,7;33,8
1-Azul;Setembro;1;30,9;8;4,9;8,7;4,5;31,4;4,7;7,3;5,8;8,1;6,6;19,7;3,3;6,9;34,9;4,3;6,2;26,1;3,6;15,5;2,9;3,7;18,3
1-Azul;Setembro;2;69;30,2;14,7;26,3;15,1;91,1;19,1;19,8;20,9;26,4;35,8;21,1;14,3;50,8;154,4;16,4;19,2;45,7;10,8;48,3;11,3;12,5;56,3
1-Azul;Setembro;3;65,5;31,9;15,9;27,9;16,2;95,5;20,9;21,8;23;28,1;37,7;21,9;15;51,1;128,1;16,7;19,2;42,8;12,6;52;12;13,2;58,8
1-Azul;Setembro;4;69,3;32,1;15,5;27,9;16,5;95,1;20,8;21,9;22,9;28,3;36,6;22,6;15,1;51,8;130,5;17,1;19,1;42,4;12,5;51,4;12,1;13,5;59,1
1-Azul;Setembro;5;69,5;31,7;15,9;28,3;16,5;95,9;20,5;21,9;22,7;28,4;35;22,1;15,1;52,8;128;16,8;19,1;42,9;12,6;51,6;12;13,3;59
1-Azul;Setembro;6;72,1;27,4;15,5;27,8;16,3;98,8;19,6;21,3;21,2;26;32,7;25,2;15,4;55,5;143,6;16,3;19;55,5;11,9;51,9;11,4;12,6;58,8
1-Azul;Setembro;7;43,7;12,2;7,3;14,3;7,7;53;7,4;10,5;11,7;11,7;11;29,5;6,2;27,8;71;7,5;10,2;63,2;8,5;26,6;5,4;6,2;30
1-Azul;Setembro;8;40,8;8,7;5,3;12,3;5,1;41,5;5,5;7,2;6,5;9,8;8,5;22,9;3,4;8,2;44,9;5,4;7,6;58;6,5;18,7;3,1;3,9;20,2
1-Azul;Setembro;9;73,9;30,4;15,1;26,8;15,5;94,5;16,1;20;21,7;26,6;35,2;22,2;15,1;54,2;135,8;16,5;19,2;64,2;13,4;50,1;11,5;12,7;57,4
1-Azul;Setembro;10;72,8;33,1;16,4;28,6;16,6;98,4;21,9;22;23,7;28;37,8;22,1;15,1;51,8;138,1;17,1;19,2;59;14,2;52,5;12,1;13,5;59,9
1-Azul;Setembro;11;70,7;32,3;16,2;27,7;16,2;97,9;22;22;23,4;28,3;38,3;21,9;15,3;52,5;134,8;17,2;19;51,6;12,8;51,7;12,2;13,5;58,9
1-Azul;Setembro;12;72;31,5;16,4;27,9;16,2;98,1;21,5;22;23;28,2;35,6;22,3;15,3;52,8;135,4;17;18,9;52,6;12,7;51,6;12;13,4;59,2
1-Azul;Setembro;13;72,5;27,5;16,2;27,8;15,8;97,2;20,3;21;21;25,9;33,1;23,1;14,7;53,5;136,1;16,5;19;61,5;12,6;51,4;11,5;12,5;57,8
1-Azul;Setembro;14;49;14,2;9,1;17,3;9,1;60,8;10,4;13,8;12,6;13,5;14;27,2;8,4;39,2;82,3;9,3;11,1;54,3;7,6;31,8;5,8;6,7;34,6
1-Azul;Setembro;15;33,1;7,8;4,7;8,8;4,4;33,5;5;6,6;5,8;8,1;7,9;19,7;2,9;8,1;37,5;4;6,5;50;11,1;18,4;2,7;3,6;18
1-Azul;Setembro;16;65,9;28,3;14,2;24,3;13,9;87,3;19,1;18,8;20,4;25,5;32,8;19,3;13,6;46,4;120,3;15,2;18,6;47,9;11,2;46,6;10,6;11,8;54,7
1-Azul;Setembro;17;70,1;31,6;15,7;27,1;15,7;95,2;21,1;21,3;23;28;36,7;21,4;14,9;51;130,6;16,6;20,1;44,7;12,6;51;12;13,1;58,3
1-Azul;Setembro;18;69,9;31,9;15,7;27,4;16,1;95,8;21,6;21,6;21,2;28,5;37,2;22,1;14,9;51,6;132,5;16,8;20,5;43,3;12,5;51,4;11,8;13,3;58,8
1-Azul;Setembro;19;70,7;31,3;15,9;27,5;16,2;96,6;21,5;21,7;23,2;28,7;31;22,4;14,8;51,6;132,8;17,2;20,2;43,4;12,5;51,2;12,1;13,3;58,7
1-Azul;Setembro;20;70,6;27;15,4;27,4;16,1;95,3;20,3;20,8;21,3;26,8;32,8;23,7;15;53,4;132,4;16,2;20,1;45,3;11,9;50,6;11,4;12,5;57,5
1-Azul;Setembro;21;45,1;13,7;8,2;16,7;8,9;56,2;10,6;13,8;12,5;13,7;13,5;26,4;8,3;38;74,1;9,2;10,9;31,7;5,9;29,5;5,9;6,7;33,1
1-Azul;Setembro;22;32,7;8,1;4,8;9,1;4,8;32,2;4,9;7,3;6,5;9,3;7,8;20;3,6;7,2;31,2;4;6,5;29,4;4;17,4;3;4;19
1-Azul;Setembro;23;70;30,1;14,9;26,4;15,4;92,2;19,9;19,7;20,9;26,9;35,5;21;14,8;52;129,2;16;19,8;49,5;11,7;49,1;11,3;12,5;57,1
1-Azul;Setembro;24;65,8;32,2;15,8;27,8;16,5;97,3;21,5;21,9;23,7;28,7;37,5;21,5;15;52;133,9;16,9;19,8;44,2;12,6;51,7;12,3;13,2;59,4
1-Azul;Setembro;25;70,7;32,2;15,7;27,7;16,5;104;21,5;22;23,8;28,7;38;21,6;15,1;52,2;134,1;16,6;19,8;43;12,6;51,8;12,2;13,5;59,5
1-Azul;Setembro;26;69,8;31;15,6;27,4;16,1;95,8;21,5;21,8;22,9;27,9;35,8;21,6;14,8;51,1;132,5;16,6;20,4;42;12,3;51;12;13,4;59,1
1-Azul;Setembro;27;68,7;27;14,6;26,4;15,6;92,7;19,9;20,8;20,5;25,4;32,7;21,9;14,5;50,4;122,2;16;19,5;43,8;11,2;49,3;11;12,4;56,4
1-Azul;Setembro;28;44,9;14,2;10,5;16,9;9,2;57,2;10,3;13,7;12,3;13,4;13,8;25,8;8,6;36,3;81,5;9;10,9;31;5,9;29,1;6;6,6;33,7
1-Azul;Setembro;29;31,5;8,7;6;9,3;4,7;33,5;5,2;7,2;6,8;9,5;7,7;18,1;3,3;6;28,1;4,2;6,5;29,1;9,6;19,4;2,9;3,9;18,8
1-Azul;Setembro;30;69,5;29,1;15;26,2;15,3;92,7;20,1;20;21,2;26,4;35;21,3;14,8;51,9;119,6;16,2;19,9;47;11,2;48,8;11,5;12,6;56,5
1-Azul;Outubro;1;69,3;31,7;15,8;28,2;16,4;96,7;21,4;21,8;23,2;28,2;36,8;21,6;15,2;53,2;141,5;16,7;20,2;42,6;12,6;51,7;12,2;13,4;59,2
1-Azul;Outubro;2;67,9;32,1;15,7;28,1;16,5;103,5;21,6;21,5;23,3;28,3;37,9;21,5;16,4;52,5;132;16,8;20,1;39,2;12,4;51,7;12,3;13,4;59,4
1-Azul;Outubro;3;68;30,7;15,6;27,6;16,1;102,9;21,3;21,4;22,7;28;34,7;21,9;14,9;52,4;131,7;16,2;20,1;42,1;12,2;50,7;11,9;13,3;58,3
1-Azul;Outubro;4;69,2;26,3;15,2;26,5;15,6;93;19,9;20,6;20,8;26,4;30,3;23,3;15,1;55,8;128,2;13,7;17,5;44;11;49,5;11,2;12,4;57
1-Azul;Outubro;5;46,1;13,6;8,8;16,7;9,3;51,1;10,1;14;12,5;13,5;13,8;28;8,9;44,6;80,9;8,7;10,9;32,4;5,7;29,8;6,1;6,8;34,4
1-Azul;Outubro;6;35;10,9;6,5;12,8;6,6;40,2;8,1;9,2;7;9,9;11,8;22,5;4,6;10,9;32,1;7,5;8,4;27,1;4,6;21,4;4;3,9;23,1
1-Azul;Outubro;7;70,4;30,3;15,2;26,8;15,5;93;20,2;20,2;21,4;26,4;34,6;22,2;15,2;59,1;131,9;15,2;20,5;46,2;11,6;49,4;11,3;12,9;57,8
1-Azul;Outubro;8;72,5;32,5;16,5;32,5;16,6;98;21,7;22;23,6;28,3;36,8;22,7;15,7;58,8;138,6;16;20,4;44,2;12,4;53;12,3;13,8;60,7
1-Azul;Outubro;9;71,1;32;15,8;28,3;16,5;97;21,4;21,7;23,5;28,3;36,7;23,8;15,7;57,9;139,1;16;20,2;45,3;12,7;52,2;12,4;13,8;60
1-Azul;Outubro;10;70,9;30,8;15,7;28;16,2;96,4;20,6;21,8;22,9;28,4;34,9;23,1;15,1;57,9;138,3;15,7;19,6;47,3;12,7;51,6;11,9;13,5;59,1
1-Azul;Outubro;11;71,9;22;17;26,8;15,7;97;19,1;20,4;20,6;26,4;32,4;24,5;14,9;58,2;138,8;15,7;19,4;51,9;12,4;50,5;11,1;12,5;57,7
1-Azul;Outubro;12;39,7;11,4;8,9;13,6;7,6;47,3;7,5;9,5;8,9;10,7;10,7;27,6;5,5;28,4;61,6;6,2;8,9;38,6;5,8;23,6;5;5,4;28,4
1-Azul;Outubro;13;36,6;7,9;7;9;4,9;34;5,3;7,1;6,4;8,2;8,8;23,5;3,3;7,6;31,6;4,2;7,2;36,3;5,3;17,2;3,1;4,1;19,6
1-Azul;Outubro;14;68,8;28,8;16,6;25;14,4;90,7;18,9;16,8;19,6;24,7;32,1;23,4;14,7;57,4;139,1;15;19,2;47,6;10,4;48;11;12,2;55,8
1-Azul;Outubro;15;69,9;30,9;15,5;26,9;15,8;96,3;20,5;20,8;21,5;26;32,8;23,5;15;57,6;132,6;14,3;18;43,3;10,8;50,7;11,9;13;58
1-Azul;Outubro;16;69,8;32,1;15,8;27,7;16,3;96,8;21,4;21,7;23,4;28,8;35,8;22,4;15,1;53,6;135,5;16,6;20,1;42,5;10,9;51,5;12,1;13,4;59,6
1-Azul;Outubro;17;70,7;31,2;16;28,1;16,4;97,6;21,4;22;22,8;28,6;34,6;22,4;15;54,3;133,1;16,4;20;42,1;11,9;51,1;12,2;13,5;59,4
1-Azul;Outubro;18;68;25,3;14,7;25,3;15;90,6;19,4;19,9;20,1;25,6;29,9;22,2;15,2;52,4;128,2;15,3;18,8;43,5;11,3;48,4;10,7;11,9;55,6
1-Azul;Outubro;19;40,7;12,1;7,4;14,4;7,8;50,7;9,6;12,1;11,4;12,4;12,5;19,5;7,5;32,9;68;8,8;10,6;32,2;5,6;26,5;5,1;5,6;30,4
1-Azul;Outubro;20;28,2;7;4,5;7,9;4;29,6;4,7;6,4;6,3;8,4;7,4;14,9;2,9;5,7;26;4,4;7;27,4;3,5;14,3;2,5;3,4;16,4
1-Azul;Outubro;21;69,3;29,5;14,9;26,4;15,3;90,8;20;19,9;21;26,9;34,2;21,9;14,8;53,9;135;16,3;20,1;46,6;11,8;49,1;11,4;12,6;56,9
1-Azul;Outubro;22;71,7;31,6;16;27,7;16,3;96,4;21,8;22;23,5;28,9;37;22,2;15,3;54,4;134,4;16,9;20,3;43,6;12,8;52;12,4;13,7;60,1
1-Azul;Outubro;23;70,7;31,3;15,6;27,1;16,1;95,8;21,1;21,5;22,8;28,4;38,6;22,3;15,1;53,2;150,4;16,4;19,5;42;11,9;49,9;11,5;13,1;58,1
1-Azul;Outubro;24;70,6;30,9;15,9;27,3;16,3;96,3;21,1;21,3;22,8;28,5;39,1;23,1;14,8;53;139,9;16;19,4;41,7;12,4;50,9;11,9;13,3;59
1-Azul;Outubro;25;68,3;25,8;14,8;25,9;15,4;90,9;19,1;20,2;20,2;25,8;30,5;23,4;14,6;50,9;130,2;14,3;17,7;42,5;10,9;48,9;10,9;12,3;56,2
1-Azul;Outubro;26;44,9;13,5;8,5;16;9,3;56,3;10,4;13,8;11,9;13,6;13,2;24,7;8,2;38,3;70,2;8,8;11;30,5;5,5;28,7;5,7;6,6;33,9
1-Azul;Outubro;27;33,1;10,7;6,7;12,4;6,4;40,1;8,2;8,9;6,7;9,5;12,1;22,1;4,5;9,8;41,4;7,4;7,9;28,2;4,8;20,8;3,8;4,8;25,3
1-Azul;Outubro;28;67,5;28,7;27,3;25,4;14,6;87,7;19,5;19;20,7;23,9;32,1;20,5;12,4;51;123,8;12,5;16,5;42,7;9,7;46,1;10,5;11,8;54,3
1-Azul;Outubro;29;70,7;31,5;16,1;27,7;16,2;96,2;21,3;21,9;23,5;28,5;36,4;21,4;15,3;53,7;136,3;16,8;20,3;43,1;12,2;51,7;12,3;13,5;60
1-Azul;Outubro;30;69,7;30,5;15,7;27,7;16,3;95,8;21,5;21,8;23,6;28,9;36,9;20,5;15,2;54,9;135,6;16,5;20,3;41,2;11,6;52,2;12;13,5;58,6
1-Azul;Outubro;31;70,1;30,2;16;27,6;16,4;97;21,4;20;23,2;28,4;34,6;22,3;15,3;56,9;133,3;16,2;20,1;42,3;11,2;52,1;12,2;13,5;59,7
1-Azul;Novembro;1;71,9;26,9;15,4;27,6;16,3;96,7;20,7;20,9;21,1;26,5;32,5;23;15;56,1;136,4;16,5;19,9;44,6;11,6;51;11,5;12,7;58,8
1-Azul;Novembro;2;37,3;10,7;6,9;12,6;6,5;47,3;7,2;9,4;8,6;11;9,5;20,8;5;25,2;50,8;6,1;9,1;27,1;4,2;22,3;4,7;5,2;26,8
1-Azul;Novembro;3;30,9;7,6;4,9;8,5;4,3;31,2;5,4;6,7;5,8;8,2;8,8;16,8;3,2;8,4;31,8;4,8;6,8;28,1;3,7;14,8;2,8;3,8;18,4
1-Azul;Novembro;4;71,7;29,4;15,1;25,9;14,8;92,2;19,4;19,4;21;26,4;32,5;20;14,6;51,9;133,9;15,9;19,7;47,1;11,8;49,1;11,1;12,8;57,3
1-Azul;Novembro;5;72,2;33;17,1;28,1;16,5;97,4;21,5;21,9;23,3;29,1;35,6;21,6;15,3;54,8;142;17,1;20,3;43,1;12,6;52,5;12,3;13,7;60,1
1-Azul;Novembro;6;71,5;32,6;17,1;28,3;16,6;98,4;21,4;21,8;23,4;28,6;34,1;21,1;15,5;55;141,9;16,9;20,1;43,4;13,1;52,4;12,2;13,8;59,9
1-Azul;Novembro;7;71,7;31,3;17;28;16,5;96,8;21,1;21,8;22,7;28,6;33,8;21,4;15,1;54,9;141,7;17;19,8;42,4;12,7;51,8;12,3;13,5;59,7
1-Azul;Novembro;8;71,1;26,3;15,5;29,2;15,4;94,5;19,3;20,3;21,2;26,7;30;20,1;14,4;51,7;135,2;15,7;18,8;45,4;11,7;49,5;10,9;12;57
1-Azul;Novembro;9;47,4;14,2;8,6;17,4;9,6;59,5;10,2;14,1;12,5;13,6;13,5;26,3;8,3;45,1;84,7;9,6;18,8;33,7;5,8;30,5;6;6,7;35,4
1-Azul;Novembro;10;32,9;8,9;5,6;12;5,7;38,5;6,5;8,1;7,6;9,7;10,6;26,6;4;9,8;36,6;5,5;16;28,8;4,6;17,2;3,3;4,3;21,3
1-Azul;Novembro;11;71,5;31,1;15,7;27,8;15,9;95,5;19,9;20,5;22,4;27,7;34;22,3;15,8;60,3;137,9;16,4;20,2;48,1;11,2;51,4;11,9;13,1;59,2
1-Azul;Novembro;12;72,2;33,3;16,2;29;17,1;99,2;21,4;22,1;24,4;29;36,4;22;15,7;57,9;140,6;17,4;20,6;45;12,1;53,4;12,4;13,7;61,4
1-Azul;Novembro;13;71,6;32,5;16;28,5;16,8;98,9;21,4;22,3;24,3;29,2;35,9;21,9;15,6;55;139,2;17,1;20,1;44,3;12,4;53,3;12,3;13,6;60,7
1-Azul;Novembro;14;74,3;31,6;16,1;29,1;17,2;102,5;21,1;22,2;23,5;28;32,9;24,2;15,8;59,3;140,9;17,4;20,8;48,8;12,3;54,2;12,3;13,5;61,2
1-Azul;Novembro;15;40;10,8;6,3;12,7;6,8;47,8;7,1;9,4;9,4;11;9,7;23,3;4,5;24,4;64,5;7,1;8,6;36,6;4,7;21,6;4,4;4,9;26,7
1-Azul;Novembro;16;42,6;12,1;7,2;14,4;7,9;51,8;8;11;10,4;11,9;11,5;30,2;8,1;43,4;72,4;7,6;9,9;30,1;5,2;25,3;5,1;5,5;30,1
1-Azul;Novembro;17;39,3;7,9;4,9;9,2;4,5;33,1;4,8;6,7;6,4;8,6;7,7;22,8;3,5;8,9;31,8;4,3;6,4;39,3;4,2;15,4;2,8;3,6;18,4
1-Azul;Novembro;18;72,4;30,6;15,2;26,9;15,4;93,8;18,9;20;21;26,5;33,7;22,5;15,5;58,8;138,1;16,2;20,2;53,3;11,5;49,9;11,4;12,7;58,2
1-Azul;Novembro;19;73,2;33,5;16,4;28,5;16,7;100;20,9;22;23;28,1;35,2;22,6;16;58,5;142,4;17,4;20,6;44,1;11,9;53,8;12,7;13,7;61,4
1-Azul;Novembro;20;38,4;10,5;6,4;13,1;6,8;45,7;6,9;9,6;8,6;10,8;9,3;18,2;4,8;24,7;51,7;5,7;8,4;26,7;4,3;21,6;4,3;4,8;26
1-Azul;Novembro;21;70,4;32,1;15,8;27,7;18,1;94,7;20,3;21,7;21,9;27,4;33,1;21,7;14,9;53;136,9;16,5;18,9;43,2;10,7;49,2;12,2;13,4;59,7
1-Azul;Novembro;22;71,6;27,9;15,3;27,1;16,3;95;19,4;20,9;20,3;25,9;32,1;22,7;15,2;55,8;137,4;16,1;19,6;45,4;11,9;51,1;11,5;12,7;58,4
1-Azul;Novembro;23;48,2;14,1;8,6;16,7;9,6;58;10,5;14;12,4;13,8;13,5;23,5;9,2;39,6;81;10,6;11,6;34,1;6,1;30;6,1;6,9;35
1-Azul;Novembro;24;33,7;8,7;5,3;9,4;5,1;37,1;5,5;8;6,4;9,2;10,2;19,9;3,4;8;32,6;4,7;8;30,6;4,3;18,4;3,2;3,9;20,3
1-Azul;Novembro;25;68,7;31,3;15,4;26,8;15,9;94,5;19,4;20,3;20,9;26,2;33;20,5;15,5;56,7;133,1;16,3;20,2;46,9;11,9;49,8;11,6;13,1;58,4
1-Azul;Novembro;26;70,2;32,2;16;27,9;16,8;96,5;20,3;21,8;22,3;27,2;33,5;20,1;15,9;55,7;146,6;16,9;20,4;43,2;12,3;52,4;12,4;13,5;60,1
1-Azul;Novembro;27;71,1;32,6;16,2;28,2;16,7;98,4;20,9;21,9;22,7;28,3;34,5;20,5;15,8;55;135,1;16,9;20,3;43,8;12,3;52,6;12,3;13,8;60,5
1-Azul;Novembro;28;69,7;32;17,9;27,9;16,6;98,1;20,4;22;21,9;27,9;33,8;21,5;15,5;54,9;144,3;17;19,6;43,9;12;52;12,2;13,5;60,1
1-Azul;Novembro;29;72,7;28,2;15,8;21,6;16,8;98,4;19,6;21,5;20,5;25,7;32,4;23,4;15,6;56,6;131,2;16,7;20;48,1;11,6;51,8;11,7;12,9;59,8
1-Azul;Novembro;30;50,6;15;8,8;17,4;9,5;61,5;11,4;13,6;12,3;14;13,9;25,4;9,4;44,8;87,5;9,8;12;34,6;5,9;31,6;6,3;7,2;36,7
1-Azul;Dezembro;1;35,1;8,4;5,2;9,4;5;36,5;6,1;7,8;7;10,1;8,5;22;3,8;10,1;34,7;4,5;6,9;29;3,8;17;3,2;4,3;20,1
1-Azul;Dezembro;2;72,4;30,8;15;26,7;15,5;94,1;18,4;19,5;20,2;26,1;34;21;15,4;56,7;138,7;16,1;19,6;47,5;12;50,3;11,3;12,9;58,5
1-Azul;Dezembro;3;70,1;32,1;15,6;26,8;15,8;94,9;18,8;20,7;20,7;26,7;35,6;20,1;14,8;52,4;135,8;15,5;19,2;42,8;12,2;50,9;11,5;13,3;58,8
1-Azul;Dezembro;4;75,1;33,1;16,2;28,4;16,7;104,4;21;22,2;21,3;27,4;36;23,6;16,1;58,4;143,4;16,2;20,3;44,1;12,5;52,1;12,3;13,8;60,9
1-Azul;Dezembro;5;79,6;32,5;16,7;28,4;17,1;101,4;20,4;22,6;22,1;28;30,2;22,6;16,1;59,3;143;16,7;20,1;45,7;12,5;53,1;12,3;13,7;61
1-Azul;Dezembro;6;83,7;29,6;16,4;28,5;17,5;102,5;20,1;21,7;21,2;26,4;27,9;24,6;16;60,9;148,3;16;19,6;51;16,7;53,8;11,8;13,3;60,8
1-Azul;Dezembro;7;64,1;16;9,6;18,6;10,4;68;11;14,7;13,8;14,3;14,5;29,6;10,1;47,5;111,5;10,6;12,5;46,5;7,2;34,2;6,6;8,1;39,5
1-Azul;Dezembro;8;45,9;9,1;5,6;12,7;5,1;37,6;6;7,7;7,9;9,7;10,6;23,1;3,8;11,7;49,1;6,1;7,8;36,2;4,8;18,7;3,5;4,7;21,4
1-Azul;Dezembro;9;72,3;31,1;15,4;26,6;15,7;95;18,2;19,3;21,4;26,5;26,9;18,8;15,9;59,9;129,9;14,8;19,9;49,2;11,4;50,1;11,3;12,9;59,1
1-Azul;Dezembro;10;70,8;32,3;16,1;27;16,4;97,8;19,4;20,9;21,8;26,9;28,9;20,7;16,3;57,3;137,8;14,9;19,5;43,6;11,7;52;11,8;13,4;60,2
1-Azul;Dezembro;11;71,5;32,7;16,3;28,3;16,9;100;19,1;21;21,6;28;29,1;21,9;16,2;60,8;138,4;15,4;21;43,7;11,5;52,3;12;13,7;60,9
1-Azul;Dezembro;12;72,5;32,3;16,7;28,3;16,8;100,8;18,9;21,5;22,5;28,4;27,6;23,1;16,5;61,3;140,4;14,9;20;45;11,5;52,5;12,2;14;60,9
1-Azul;Dezembro;13;74,2;29;16,2;27,5;16,6;100;18,5;20,7;21;25,7;24,7;23,8;16,2;57,3;136,5;14,5;19,3;48,6;10,8;52,1;11,6;13,5;60,2
1-Azul;Dezembro;14;52,1;14,9;9,2;17,8;10,2;63,4;10,6;14;12,9;13,3;14,7;22,7;9,6;40,9;86,2;8,8;13,4;37,9;6,7;32,3;6,3;7,8;37,5
1-Azul;Dezembro;15;38,4;9,6;5,7;10,7;5,5;40,4;6,5;8,1;7,5;9,3;10;18,4;4,2;10,9;40,5;6,3;9,6;33,5;5,2;18,8;3,6;5;22,8
1-Azul;Dezembro;16;69,1;29,2;15;25,7;15,3;94,2;16,2;18,5;19,5;25,3;23,9;17,6;15,7;59,5;130,3;12,6;19,1;47,3;10,3;48,8;10,9;12,5;56,9
1-Azul;Dezembro;17;69,4;31,1;15,9;26,9;16;96,8;16,8;19,8;20,4;25,5;24,2;18,2;15,9;59,6;126,9;12,7;19;44;10,9;50,6;11,7;12,9;58,9
1-Azul;Dezembro;18;69,2;29,8;15,4;26,2;15,8;95,7;16,8;19,7;19,9;24,7;23,5;18,8;14,7;58,7;129,1;12,5;18,2;45,1;10,6;49,5;11,3;12,9;58,3
1-Azul;Dezembro;19;68,1;28,8;15,5;25,9;15,6;94,1;16,3;19,2;19,4;24,4;22,9;17,9;14,7;59,1;115,4;12,3;18,2;44,5;10,5;49,1;11;12,4;57,3
1-Azul;Dezembro;20;68,6;25,2;14,2;25,3;14,6;96,6;15,5;17,4;17;22,4;20,2;19,3;13,9;60;129;11,5;17;48,5;9,8;47,7;9,9;11,4;55,4
1-Azul;Dezembro;21;49,6;13,6;8,6;16;9,2;61,7;8,5;11,5;10;11,3;10,7;18,2;8,7;43,6;82,1;7,5;11,7;42,3;5,3;30,3;5,6;6,5;35,6
1-Azul;Dezembro;22;34,2;8,4;5,1;9,5;4,8;36,8;4,8;6,7;5,5;7,6;6,7;15,3;3,9;13,4;37,7;4,2;6,9;31,4;3,8;17,3;3,1;4,4;20,9
1-Azul;Dezembro;23;57,3;18,3;10,6;18,6;10,8;70,9;10,3;12;11,4;16,5;13,2;15,9;11,2;55,6;103,4;8,3;13,5;43,7;6,8;35,2;6,7;7,9;41,9
1-Azul;Dezembro;24;32,5;9,3;5,5;10,4;5,5;38,8;5,5;7,3;7;9,1;7,9;7,3;6,2;21,7;46,3;4,3;7,7;26,3;3,6;19,9;3,2;4;21,7
